"image_1_text","image_2_text","database","image","number"
"3 people running in front of a park with a bench next to a fountain","3 people running in front of a park that has a view of a fountain.","wolfe1","image-022","6"
"a mother and child walking in to a glass building thats a clinic with two bushes outside","a mother and child walking in to a glass building thats a clinic that has only 1 bush","wolfe1","image-023","1"
"a woman and young girl walking into a clinic with 2 bushes on either side","a woman and a young girl walking into a clinic with a bush on the right side","wolfe1","image-023","2"
"an adult and a child are walking into a clinic that has shrubs on both sides of the entrance","an adult and child are walking into a clinic that has a shrub on one side of the entrance","wolfe1","image-023","3"
"there is a building tha appears to be a clinic. there are bushes outside and people are walking into the building","there is  large building that appears to be a clinic. there is one bush outside and people are walking into the building.","wolfe1","image-023","4"
"the first two cars are red with a barrel in from of them.","the first two cars are red","wolfe1","image-024","1"
"a red trash bin in front of a vehicle at a classic car show","a classic car show with many restored vehicles ","wolfe1","image-024","2"
"large car festival with multiple cars on display. the cars have their hoods and trucks open. one red car in particular has a red and white barrol in front of it. ","large car festival with mulitple cars on display. the cars have their hoods and trucks open.","wolfe1","image-024","3"
"people walking around a car show including a man in a white shirt passing a trash can in front of a red car","people walking around a car show including a man in a white shirt passing in front of a red car","wolfe1","image-024","4"
" an outdoor festival with various tents, two trees can be seen in the background","an outdoor festival with various tents, a tree can be seen in  the background","wolfe1","image-025","1"
"tree next to tents","people walking through tents","wolfe1","image-025","2"
"this is an outdoor market with people walking about on a nice day and there are umbreallas coverins stalls and a coniferous tree in the background","a nice day with an outdoor market and covered stalls with blue sky and part of a couple umbrellas, one green and one orange in front of the sky","wolfe1","image-025","3"
"a line up of vendors under tents with two trees behind them ","a line up of vendors under tents with one tree behind them","wolfe1","image-025","4"
"a street market has a lot of people and two towering trees in the background.","a street market has a lot of people and one towering tree in the background","wolfe1","image-025","5"
"a brown cushion sitting on a large sectional bench","a white cushion sits on a large sectional bench","wolfe1","image-026","1"
"there is a brown pillow","there is a white pillow","wolfe1","image-026","2"
"a scenic beachfront view from a balcony, including tables, a couch, and red, white, and green pillows","a scenic beachfront view from a balcony, including tables, a couch, and red and white pillows","wolfe1","image-026","3"
"a living space that is open to the ocean with several pillows on the couch. ","a living space that is open to the ocean with several pillows on a blue couch. ","wolfe1","image-026","4"
"each bench in the park has a plaquard.","each bench in the park has a plaquard, except one.","wolfe1","image-027","1"
"people are at an outdoor event standing around a set of concrete barriers with lights in them","people are at an outdoor event standing around a set of concrete barriers with lights in them, except for the center barrier","wolfe1","image-027","2"
"people at an outdoor market in a park where some are sitting on concrete benches with small lights underneath. ","people at an outdoor market in a park where some are sitting on concrete benches with small lights underneath but one is missing the light. ","wolfe1","image-027","3"
"people stand onthe street near benches that have drainage vents underneath.","people stand on the street near benches but the middle bench has no drainage vent.","wolfe1","image-027","4"
"a crowd forms in front of benches with placards on them","a crowd forms in front of benches, some of which have placards","wolfe1","image-027","5"
"a large building with many windows with people sittin infront of it and there is an object behind them in the grass","a large building ith many widowd with people sitting in the grass with no object behind them","wolfe1","image-028","1"
"a group of people sitting on grass in front of a building with a white object laying behind them","a group of people sitting on grass in front of a building with nothing laying behind them","wolfe1","image-028","2"
"students sit on the grass while having class outside.  there is a white object on the grass in the foreground","students sit on the grass while having class outside.  there are no objects on the grass in the foreground","wolfe1","image-028","3"
"a group of people are listening to a speaker while sitting on the grass in front of a building with a piece of paper behind them.","a group of people are listening to a speaker while sitting on the grass with no litter.","wolfe1","image-028","4"
"there is an object behind the person sitting in the center of the photo","there is more grass behind the person sitting in the center of the photo","wolfe1","image-028","5"
"a small window panel on the roof af an old building","the roof of a historic old building","wolfe1","image-029","1"
"bikes sit in front of a building with three front facing windows at the very top of the building","bikes sit in front of a building with two front facing windows at the very top of the building","wolfe1","image-029","2"
"a stone school building with three features on the roof and many bikes parked as students are in class.","a stone school builiding with two features on the roof and many bikes parked as students are in class","wolfe1","image-029","3"
"a university building with seven windows on the roof, a person walking a path, and many bikes in the foreground.","a university building with six windows on the roof, a person walking a path, and many bikes in the foreground.","wolfe1","image-029","4"
"a sidewalk with a bus stop and an advertisement displayed in front of a jewelry store.","a sidewalk with a bus stop and a jewelry store.","wolfe1","image-030","1"
"a signboard sits outside the store with the yellow front","nothing sits outside the store with the yellow front","wolfe1","image-030","2"
"there is a somewhat empty sidewalk along a street with shops and a sandwhich board in front of the jewelry shop","there is a somewhat empty sidewalk along a street with shops and no sandwhich boards on the sidewalk","wolfe1","image-030","3"
"a building front with some stores and a sign for a business.","a building front with some stores.","wolfe1","image-030","4"
"a troop of boy scouts cross a street with the lead kid wearing badges","a troop of boy scouts cross a street with the lead kid not wearing badges","wolfe1","image-031","1"
"adult boy scouts marching in a parade with one girl scout accompanying them and wearing a badge on the right side of her chest.","adult boy scouts marching in a parade with one girl scout accompanying them.","wolfe1","image-031","2"
"scouts walking in a parade and a woman wearing a patch","scouts walking in a parade","wolfe1","image-031","3"
"a parade of people are on the stree and the girl has a badge on her right chest","a parade of people are on the street and the girl has no badge on her right chest","wolfe1","image-031","4"
"a group of adult cub- boy- and girl scout leaders with one female leader sporting a large multi-colored badge near her right shoulder with a smaller, darker badge below that badge","a group of adult cub- boy- and girl scout leaders with one femaile leader sporting a small, dark badge on the right side of her shirt","wolfe1","image-031","5"
"a woman with badges across her chest walks alongside her fellow ranger across the street","a woman with a badge on the left side of her chest walks alongside her fellow rangers across the street","wolfe1","image-031","6"
"a scout troop marches in a parade. one of the scouts in front has badges on both sides of her uniform.","a scout troop marches in a parade. one of the scouts in front has badges on one side of her uniform.","wolfe1","image-031","7"
"people feeding a large group of pigeons while 3 stand by a young boy","people feeding a large group of pigeons","wolfe1","image-032","1"
"a man in a yellow sportscoat and two women and a child feeding pigeons infront of a castle. there are birds to the right of the boys feet","a man , two women and a child feeding pigeons in front of a castle, there are no birds to the right of the boys feet.","wolfe1","image-032","2"
"boy with birds at his heels","boy without birds at his heels","wolfe1","image-032","3"
"a family feeding birds in front of all of them.","a family feeding birds that are in front of all of them except the young boy.","wolfe1","image-032","4"
"a family is feeding birds that surround them in front of a landmark","a family is feeding birds in front of them in front of a landmark","wolfe1","image-032","5"
"several pigeons are next to a group of people who are feeding them ","a groupof four people are feeding a large group of hungry black pigeons","wolfe1","image-032","6"
"to the boys left hand side there are several birds next to him","to the boys left hand side there are not any birds right next to him","wolfe1","image-032","7"
"basketball game near a roofed building","basketball game in a park with trees","wolfe1","image-033","1"
"a group of men playing basketball on a court next to a blue building and a crowd of people watching","a group of men playing basketball on a court next to no building and a crowd of people watching","wolfe1","image-033","2"
"men playing basketball in front of a crowd with a blue awning in the top left corner. ","men playing basketball in front of a crowd with no awning visible.","wolfe1","image-033","3"
"guys playing basketball on a court which is covered slightly on the corner","guys playing basketball on a court","wolfe1","image-033","4"
"a basketball player gets ready to take a shot from under the eave of a nearby building","a player gets ready to take a shot during a basketball game in the mountains","wolfe1","image-033","5"
"people playing basketball outside with a blue awning ","people playing basketball outside with a tree in the background","wolfe1","image-033","6"
"men playing a game of basket ball while people watch in the shade under a canopy","men playing basketball while people watch behind a barricade","wolfe1","image-033","7"
" a backyard with a patio and black chairs with red cushions and six stepping stones","a backyard with a patio and black chairs  with red cushions and five stepping stones","wolfe1","image-034","1"
"house with tile walkway in back yard","house with tile walkway missing one tile","wolfe1","image-034","2"
"a patio at the back of a house with a walkway of 6 stone slabs leading to a sitting area","a patio at the back of a house with a walkway of 5 stone slabs leading to a sitting area","wolfe1","image-034","3"
"a calm and peaceful looking backyard garden, with stepping stones over to a seating area.","a calm and peaceful looking backyard garden, with a missing stepping stone over to a seating area.","wolfe1","image-034","4"
"the rock can help the path","there is a rock missing","wolfe1","image-034","5"
"the backyard of a home with green grass and six stones to walk on in the grass. ","the backyard of a home with green grass and five stones to walk on in the grass.","wolfe1","image-034","6"
"there are 6 stepping stones on the ground.","there are 5 stepping stones on the ground.","wolfe1","image-034","7"
"the back yard of a house, containing a path with six stones connecting two sets of patios through grass","the back yard of a house, containing a path with five stones connecting two sets of patios through grass","wolfe1","image-034","8"
"a backyard with six paver stones","a backyard with five paver stones","wolfe1","image-034","9"
"a group of sail boats sailing on the ocean behind some jetski's and a smaller boat.","a group of sail boats sailing on the ocean behind some jetski's.","wolfe1","image-035","1"
"four sailboats in the water next to two jet skis approaching a speedboat.","four sailboats in the water next to two jet skis.","wolfe1","image-035","2"
"four sailboats and a lot of jetskees in a large body of water with a large animal i the water","four sailboats and several jetskees in a large body of water with no animal ","wolfe1","image-035","3"
"a collection of boats and ten people on jet skis in an open body of water","a collection of boats and nine people on jet skis in an open body of water","wolfe1","image-035","4"
"the wide open ocean with five sail boats and five small speed boats ahead of them.","the wide open ocean with five sail boats and four small speed boats ahead of them","wolfe1","image-035","5"
"a picnic table is inside an enclosure, there is a white food carton sitting in the middle of the table.","a picnic table is inside an enclosure, there is no white food carton sitting in the middle.","wolfe1","image-037","1"
"6 various colored containers sitting on a picnic table in a green house.","5 various colored container sitting on a picnic table in a green house.","wolfe1","image-037","2"
"an open dining area with an area for children, there is a white egg casing","an open dining area with an area for children, there are yellow and blue egg casings","wolfe1","image-037","3"
"a table with 6 food containers on it.","a table with 5 food containers on it.","wolfe1","image-037","4"
"table with dinner set and white drink holder","table with dinner set and no white drink holder","wolfe1","image-037","5"
"several buildings line a cobblestone street. the first building on the right has a yellow sign, probably giving the street name.","several buildings line a cobblestone street. ","wolfe1","image-038","1"
"quiet street with a few traditional style buildings with a sign on the yellow building","quiet street with a few traditional style buildings","wolfe1","image-038","2"
"two cars are shown on a street parked in front of a yellow house with a yellow sign while someone sweeps the sidewalks","two cars are shown on a street parked in front of a yellow house while someone sweeps the sidewalks","wolfe1","image-038","3"
"a parking lot with a yellow sign.","a parking lot with no signs.","wolfe1","image-038","4"
" looks like a black and white office with shelves and tables and a camera     ","looks like a black and white office with shelves and tables ","wolfe1","image-039","1"
"a store that has different shelves of items where the top shelf is all the same except for 1 large black square","a store that has different shelves of items where the top shelf is all the same item","wolfe1","image-039","2"
"a modern interior of a building, with chairs, and tables with numerous decorations, including a top shelf with a black box","a modern interior of a building, with chairs, and tables with numerous decorations, including a top shelf without a black box","wolfe1","image-039","3"
"a square black objects sits in the middle of the shelf in a room","nothing sits in the middle of the shelf  in a room","wolfe1","image-039","4"
"a box on a shelf full of bottles in a room","a white wall behind a shelf in a white room","wolfe1","image-039","5"
"there was one light placed in the photo","no lights are paced in the photo","wolfe1","image-040","1"
"a group of boys are playing basketball. there is a coachlight on the wall ","a group of boys are playing basketball. there is no coachlight on the wall. ","wolfe1","image-040","2"
"boys playing basketball outside a garage with two wall lights visible on the building.","boys playing basketball outside a garage with one wall light visible on the building. ","wolfe1","image-040","3"
"a group of young men playing basketball in front of garage doors that have overhanging lights","a group of young men playing basketball in front of garage doors, of which one has an overhanging light","wolfe1","image-040","4"
"boys play basketball at a house with a two car garage, one side has a light fixture over it","boys play basketball at a house with a two car garage with no lights","wolfe1","image-040","5"
"kids playing basketball with an outdoor lamp on the wall behind the basketball goal","kids playing basketball with a red brick wall behind the basketball goal","wolfe1","image-040","6"
