"image_1_text","image_2_text","database","image","number"
"a combined home office and living space with a modern look and feel, with the wall above the couch being empty","a combined home office and living space with a modern look and feel, with the wall above the couch containing a mirror with three panels","wolfe2","005_L_mirror","1"
"a small apartment living room with one bare wall.","a small apartment living room with two wall with hanging pictures.","wolfe2","005_L_mirror","2"
"a modern living area overlooking a city with a sofa, chair and desk","a modern living area overlooking a city with a sofa with a mirror above it, chair and desk","wolfe2","005_L_mirror","3"
"a living room with a red chair","a living room with a red chair and art on a wall","wolfe2","005_L_mirror","4"
"modern apartment with bare wall over couch.","modern apartment with mirror over couch.","wolfe2","005_L_mirror","5"
"a white and red living area with a blank wall above the futon","a white and red living area with a mirror above the futon","wolfe2","005_L_mirror","6"
"a living room area with a painting and tv on a wall","a living room area with a painting and tv on one wall and a mirror art on the other wall","wolfe2","005_R_mirror","1"
"a living room with a computer desk, couch, a window with a city view, and a set of three mirrors on the wall","a living room with a computer desk, couch, and a window with a city view","wolfe2","005_R_mirror","2"
"an apartment living room with a large window","an apartment living room with a mirror and a large window","wolfe2","005_R_mirror","3"
"a modern living room with a futon and large window overlooking a city","a modern living room with a futon, a large window overlooking a city, and a mirror on the wall","wolfe2","005_R_mirror","4"
"this room has a study desk and seating. there is a window in the back of the room with gray walls.the city can be seen in the window.","there is a mirror on the gray wall next to the window overlooking the city.","wolfe2","005_R_mirror","5"
"a clean and well kept master bedroom that has a night stand with a lamp on it.","a clean and well kept master bedroom that has a night stand with a lamp and vase on it","wolfe2","006_L_vase","1"
"a bedroom with multiple dressers and a rug with an empty nightstand","a bedroom with multiple dressers and a rug with a nightstand with a vase on it","wolfe2","006_L_vase","2"
"a bedroom with a bedside table with only a lamp","a bedroom with a bedside table and alamp and a vase","wolfe2","006_L_vase","3"
"bedroom with four pictures,a mirroe and bed table with lamp","bedroom with four pictures on the wall, a mirror and bed table with lampand vase","wolfe2","006_L_vase","4"
"bedroom with full set","bedroom with full set and vase on nightstand","wolfe2","006_L_vase","5"
"the living room with king bed and table top on the left handside without a vessel as decoration","the living room with king bed and table top on the left handside with a vessel as decoration","wolfe2","006_L_vase","6"
"a bedroom with hardwood floors, matching wood furniture and a lamp on the night stand","a bedroom with hardwoo floors, matching wood furniture and a lamp on the night stand","wolfe2","006_L_vase","7"
"empty space","pot has","wolfe2","006_R_vase","1"
"the bed has a palm tree behind it. there is a white rug under the bed. next to the bed on the right is a lamp sitting on a table.","the bed has a palm tree behind it. there is a white rug under the bed. next to the bed on the right side is a lamp and a puple vase.","wolfe2","006_R_vase","2"
"there is nothing by the lamp","there is a vase near the lamp ","wolfe2","006_R_vase","3"
"the well-outfitted bedroom is missing a vase.","a vase balances the bedroom in this image","wolfe2","006_R_vase","4"
"a nightstand with a lamp","a nightstand with a lamp and vase","wolfe2","006_R_vase","5"
"a spot where an object sits on nightstand","a pot sitting on a nightstand","wolfe2","006_R_vase","6"
"this is a nicely furnished bedroom. there is a night stand with a lamp on it.","this is a nicely furnished bedroom. there is a night stand with a lamp and an ornate jug on it","wolfe2","006_R_vase","7"
"iin a bathroom there is a sink with no soap dish next to a yellow bucker","in a bathroom there is a  sink with a soapdish with soap next to a yellow bucket","wolfe2","007_L_soap","1"
"a room with  a light and towel hanging . there is no object in the box","a room with a light and towel hanging .  there is a box in the box","wolfe2","007_L_soap","2"
"double sink in a bathroom with large mirror. the right sink has a soap dish with yellow soap.","double sink in a bathroom with large mirror. the sinks each have a soap dish with yellow soap.","wolfe2","007_L_soap","3"
"abathroom with 2 sinks, a chalk board and towle","a bathroom with 2 sinks a chalk board and towle with bowle on counter","wolfe2","007_L_soap","4"
"a colorful bathroom with a empty white tray.","a colorful bathroom with a small pot on the white tray.","wolfe2","007_L_soap","5"
"a bathroom that has a large mirror and doubles sinks with an area for soap to be held","a bathroom that has a large mirror and doubles sinks with an an area for soap to be held containing a bar of soap.","wolfe2","007_R_soap","1"
"a rustic looking bathroom with a towel sitting on the countertop","a rustic looking bathroom with a bowl sitting on a towel on the countertop","wolfe2","007_R_soap","2"
"two sinks in front of a mirror with one bar of soap","two sinks in front of a mirror with two bars of soap","wolfe2","007_R_soap","3"
"a bathroom with two sinks, a mirror, multi-colored towels, and a soap dish on one of the sinks","a bathroom with two sinks, a mirror, multi-colored towels, and a soap dish for each sink","wolfe2","007_R_soap","4"
"bathroom sink and mirror area with white sinks","bathroom sink and mirror area with a white dish on the white sink","wolfe2","007_R_soap","5"
"a colorful bathroom counter area with a striped hand towel, mint green walls, a large mirror, a chalkboard, and a small bowl next to one of the two rectangular sinks","a colorful bathroom counter area with a striped hand towel, mint green walls, a large mirror, a chalkboard, and a small bowl next to each rectangular sink","wolfe2","007_R_soap","6"
"blue bathroom with window shelf","blue bathroom with window shelf with bottle on shelf","wolfe2","008_L_bottle","1"
"a blue bathroom. there is a mirror in the center with a sink below it. there is a window to the left of the mirror with a shade drawn on it with a bottle with a spray bottle with a red cap on it.","a blue bathroom. there is a mirror in the center with a sink below it. there is a window to the left of the mirror with a shade drawn on it with a spray bottle with a red cape with a smaller bottle next to it.","wolfe2","008_L_bottle","2"
"a blue bathroom that has a bottle resting on the window sill","a blue bathroom that has two bottles resting on the window sill","wolfe2","008_L_bottle","3"
"a bathroom that has a window with white blinds with what appears to be glass cleaner on the ledge","a bathroom that has a window with white blinds and there are 2 bottles on the window ledge","wolfe2","008_L_bottle","4"
"a blue themed bathroom ","a blue themed bathroom with a bottle missing ","wolfe2","008_R_bottle","1"
"a clean and orderly blue bathroom with a large mirror and one bottle on the window sill","a clean and orderly blue bathroom with a large mirror and two bottles on the window sill","wolfe2","008_R_bottle","2"
"its a cool colored bathroom with everything you need and a window","its a cool colored bathroom with everything you need, but now theres an extra cleaning product on the window sill","wolfe2","008_R_bottle","3"
"only one item is in the window cell","there are two items on the window shelf","wolfe2","008_R_bottle","4"
"this bathroom has almost everything needed for function.","this bathroom has everything including lotions. ","wolfe2","008_R_bottle","5"
"nice family blue bathroom","modern blue clean bathroom","wolfe2","008_R_bottle","6"
"white blinds in the bathroom","a bottle sitting on the window sill","wolfe2","008_R_bottle","7"
"this is a bathroom with blue walls. there is a can of air freshner by the window.","this is a bathroom with blue walls. there is a can of air freshner and soap by the window.","wolfe2","008_R_bottle","8"
"a very modern bedroom with glass walls, white floors and brown accents","a very modern bedroom with glass walls, white floors, and brown accents with a small rug under one corner of the bed","wolfe2","009_L_carpet","1"
"a bedroom with a sitting area near the bed","a bedroom with a sitting area on top of a circular rug","wolfe2","009_L_carpet","2"
"a bedroom without an area rug","a bedroom with an area rug","wolfe2","009_L_carpet","3"
"a modern bedroom with white walls and floors and brown furniture in it","a modern bedroom with white walls and floors, brown furniture, and a round pale taupe rug in it","wolfe2","009_L_carpet","4"
"a bedroom with a stool, blanket and book.","a bedroom with a stool, blanket, book and rug underneath.","wolfe2","009_R_carpet","1"
"a modern bedroom with a settee sitting on the hard floor","a modern bedroom with a settee sitting on a rug on the hard floor","wolfe2","009_R_carpet","2"
"a very modern-looking bedroom with a shiny white floor and no rugs","a very modern-looking bedroom with a shiny white floor and a round beige rug","wolfe2","009_R_carpet","3"
"there is a study desk in the bedroom near the window.there are two windows in the background with a fence and trees.","there is a round tan rug under the study desk extending to the first leg of the bed. there are two windows in the background with a fence and trees.","wolfe2","009_R_carpet","4"
"a white bedroom with 1 candle on the nightstand","a white bedroom with 2 candles on the nightstand","wolfe2","010_L_candle","1"
"a bedroom with a metal framed-bed and one candle on the left nightstand","a bedroom with metal framed bed and two candles on the left nightstand.","wolfe2","010_L_candle","2"
"a bedroom with 2 candlesticks on a nightstand where only one has a candle","a bedroom with 2 candlesticks on a nightstand where both have a candle","wolfe2","010_L_candle","3"
" a bedroom with many mirrors and a single candle","a bedroom with many mirrors and two candles","wolfe2","010_L_candle","4"
"a warm bedroom with a nightstand with two candlesticks","a warm bedroom with a nightstand with three candlesticks","wolfe2","010_L_candle","5"
"bedroom with pictures across the bed and one candle in a holder beside the bed on the right.","there are now two candles beside the bed on the right side.","wolfe2","010_R_candle","1"
"a bedroom with an accent wall of mirrors and a nightstand with two candle holders - only one containing a candle.","a bedroom with an accent wall of mirrors and a nightstand with two candle holders which both contain candles.","wolfe2","010_R_candle","2"
"very nice bedroom with two candle sticks on the night stand next to the bed. one of the candles is missing from the candle sticks","very nice bedroom with two candle sticks on the night stand next to the bed. there are two candles in the two candle sticks","wolfe2","010_R_candle","3"
"in a well designed bedroom a set of candlesticks appears.one candle is missing.","a set of candlesticks appears on the side table of a bedroom.","wolfe2","010_R_candle","4"
"a fully furnished bedroom with two candles","a fully furnised bedroom with three candles","wolfe2","010_R_candle","5"
"a fancy hotel room with dim lights","the relax area of professionals","wolfe2","010_R_candle","6"
"a short candlestick by a bed","two long candlesticks sitting on small end table","wolfe2","010_R_candle","7"
"this is a picture of a bedroom. on a nightstand on the right there is one candle.","this is a picture of a bedroom. on a nightstand on the right there are two candles.","wolfe2","010_R_candle","8"
"in a bathroom there is an empty space to the right of the sink handle","in a bathroom there sits a red dispenser to the right of the sink handle","wolfe2","011_L_parfum","1"
"a bright, modern bathroom with 1 bottle on the counter","a bright, modern bathroom with 2 bottles on the counter","wolfe2","011_L_parfum","2"
"a colorful bathroom with one soap bottle sitting next to the sink ","a colorful bathroom with two soap bottles sitting next to the sink","wolfe2","011_L_parfum","3"
"a double vanity sink with a soap on top of the counter and towels hanging next to it. ","a double vanity sink with two different hand soaps on it, and towels hanging next to it","wolfe2","011_L_parfum","4"
"a cluttered bathroom with white tiles that has a double sink with a pink soap bottle by the left sink.","a cluttered bathroom with white tiles that has a double sink with a pink soap bottle by the left sink and a brown soap bottle by the right sink.","wolfe2","011_R_parfum","1"
"a modern style bathroom","a modern style bathroom with a soap bottle added","wolfe2","011_R_parfum","2"
"a bathroom with two sinks. on the left hand side there is a pink soap dispenser","a bathroom with two sinks. on the left hand side there is a pink soap dispenser and on the right hand side there is a red soap dispenser.","wolfe2","011_R_parfum","3"
"the white tile color scheme does not mix well with the blue tiles","the hidious bottle of perfume sits on top of the marble sink near a large bottle of pink perfume","wolfe2","011_R_parfum","4"
"a modern style bathroom with a featureless tub sitting in front of a water faucet.","a modern style bathroom with a tub containing a green circle sitting in front of a water faucet.","wolfe2","012_L_tubaccesory","1"
"in a bedroom there is a white bathtub with smooth sides under a window","in a bedroom there is a white bathtub with an object on the side of otherwise smooth sides under a window","wolfe2","012_L_tubaccesory","2"
"a modern bath with free-standing tub underneath a three pane window to the back yard.","a modern bath with free-standing tub underneath a three pane window to the back yard. the tub drain switch is clearly visible.","wolfe2","012_L_tubaccesory","3"
"a very clean bathroom with a tub and two sinks below a mirror","a bathroom with a tub with a drain below the faucet and two sinks below a mirror","wolfe2","012_L_tubaccesory","4"
"a bathroom with double sinks, a large window and a white tub in the middle.","a bathroom with double sinks, a large window and white tub with a drain in the middle.","wolfe2","012_R_tubaccesory","1"
"this bathtub is missing an overflow drain","this bathtub has all the necessary pieces","wolfe2","012_R_tubaccesory","2"
"a bathroom with a big bathtub with no overflow","a bathroom with a big bathtub with an overflow","wolfe2","012_R_tubaccesory","3"
"a large, open bathroom overlooking a beautiful yard. the bathroom includes a soaking tub that has no drain","a large, open bathroom overlooking a beautiful yard. the bathroom includes a soaking tub with a drain at the top","wolfe2","012_R_tubaccesory","4"
"a luxurious bathroom with a white tub","a luxurious bathroom with a white tub with a blue circle","wolfe2","012_R_tubaccesory","5"
"a room with class and cupboared two sofa present","a room with class door, cupboard and sofa present","wolfe2","013_L_lamp","1"
"modernistic living and dining combination with single hanging white light over the dining table","modernistic living and dining combination with double hanging white lights over the dining table","wolfe2","013_L_lamp","2"
"a big room with with one hanging bulb handle","a big room with two hanging bulb handles","wolfe2","013_L_lamp","3"
"a high end modern living room with a single hanging light","a high end modern living room with two hanging lights","wolfe2","013_L_lamp","4"
"a sectioned room with a hardwood floor and one light over a seating table","a sectioned room with a hardwood floor and two lights over a seating table","wolfe2","013_L_lamp","5"
"living space with one white hanging light","living space with two white hanging lights","wolfe2","013_L_lamp","6"
"there are table and chairs at the office kitchen with one lamp hang on the top of ceiling","there are table and chairs at the office kitchen with two lamps hang on the top of ceiling","wolfe2","013_L_lamp","7"
"an open area with glass doors for a sitting area, hard wood floors, and one hanging light fixture","an open area with glass doors for a sitting area, hard wood floors, and one hanging light fixture","wolfe2","013_L_lamp","8"
"an apartment with a hanging light over the breakfast nook.","an apartment with two hanging lights over the breakfast nook.","wolfe2","013_L_lamp","9"
"there is only one chanlier  in the room","there is two chanlier in the room","wolfe2","013_R_lamp","1"
"a living space with hardwood floors and one light over a wooden table towards the right.","a living space with hardwood floors and two lights over a wodden table towards the right.","wolfe2","013_R_lamp","2"
"a room with a couch and a large hanging light","a room with a couch and two large hanging lights","wolfe2","013_R_lamp","3"
"a modern office with glass walls and a hanging light","a modern office with glass walls and two hanging lights","wolfe2","013_R_lamp","4"
"a loft type living space. has a dining area with one light hanging above the table","a loft type living space. has a dining area with two lights hanging above the table.","wolfe2","013_R_lamp","5"
"a meeting area with a wooden table with a hanging light above it","a meeting area with a wooden table with two hanging lights above it","wolfe2","013_R_lamp","6"
"a bright, open sitting area with 3 lights overhead","a bright, open sitting area with 4 lights overhead","wolfe2","014_L_lamp","1"
"a restaurant with very high ceilings and three light fixtures on the upper part of the wall","a restaurant with very high ceilings and four light fixgures on the upper part of the wall","wolfe2","014_L_lamp","2"
"a clear wall","a lamp on a wall","wolfe2","014_L_lamp","3"
"room with two tables and 3 lights on the wall","room with two tables and 4 lights on the wall","wolfe2","014_L_lamp","4"
"an indoor-outdoor bar seating area with three wall-mounted lights","an indoor-outdoor bar seating area with four wall-mounted lights","wolfe2","014_R_lamp","1"
"a commercial area with tables and chairs and three lights on the walls","a commercial area with tables and chairs and four lights on the walls","wolfe2","014_R_lamp","2"
"a dining area froma  restaurant with three lights on the wall","a dining area from a restaurant with four lights on the wall","wolfe2","014_R_lamp","3"
"atrium area of a business with three lights on the wall","atrium area of a business with four lights on the wall ","wolfe2","014_R_lamp","4"
"a bright, modern restaurant with three overhead lights","a bright, modern restaurant with four overhead lights","wolfe2","014_R_lamp","5"
"a room with two hightop tables, very high ceilings and 3 upward pointed lights very high up on the walls","a room with two hightop tables very high ceilings and 4 upward pointed lights very high up on the walls","wolfe2","014_R_lamp","6"
"a quiet living room with 4 ceiling lights","a quiet living room with 6 ceiling lights","wolfe2","015_L_ceilinglight","1"
"in a living room there is a smooth white ceiling","in a living room there is a double recessed light fixture on the ceiling","wolfe2","015_L_ceilinglight","2"
"a modern lving room with wooden floors and two speakers in the ceiling ","a modern living room with two speakers and a recessed light in the ceiling and wooden floors.","wolfe2","015_L_ceilinglight","3"
"a large living room in neutral tones with no light directly over the coffee table","a large living room in neutral tones with a light directly over the coffee table","wolfe2","015_L_ceilinglight","4"
"a modern looking living room with one ceiling light.","a modern looking living room with two ceiling lights. ","wolfe2","015_R_ceilinglight","1"
"there is nothing but white paint on the ceiling of this room.","there is small sight on the ceiling of this room.","wolfe2","015_R_ceilinglight","2"
"a living room that has two lights in the ceiling.","a living room that has three lights in the ceiling.","wolfe2","015_R_ceilinglight","3"
"a view of a modern family room with wood floors, gray walls, a large television, and two recessed lights in the ceiling","a view of a modern family room with wood floors, gray walls, a large television, and three recessed lights in the ceiling","wolfe2","015_R_ceilinglight","4"
"a sleek and pale living room with nothing on the pillar","a sleek and pale living room with a black statue on top of the pillar","wolfe2","016_L_art","1"
"a living room with a large walk out sliding glass door.","a living room with a large glass sliding door, and an architectural piece.","wolfe2","016_L_art","2"
"a beautiful living with nice white couch and chic coffee table and beautiful view outside","a beautiful living room with nice white couch and chic coffee table and beautiful scenery outside and a small sculpture on the left pillar.","wolfe2","016_L_art","3"
"a clean and bright living room without a sculpture on a pedastal that is next to the couh.","a clean and bright living room with a strange scultpture on a pedastal that is next to the couch.","wolfe2","016_L_art","4"
"a modern style living room with a window and speaker in the back","a modern style living room with a window and speaker in te back with something on top of it","wolfe2","016_L_art","5"
"a minimalistic living room in a modern home, with a pedestal that has nothing on it.","a minimalistic living room in a modern home, with a pedestal that has an artistic object on it.","wolfe2","016_L_art","6"
"a contemporary living room leading out to an outdoor space with a black box on a pedestool in the far corner","a contemporary living room leading out to an outdoor space with a black statue on a pedestool in the far corner","wolfe2","016_R_art","1"
"a minimalized room with a view","the same minimalized with a picture missing","wolfe2","016_R_art","2"
"modern home living area with a glass door to the patio. it has a statue holder but no statue","modern home living area with a glass door to the patio. it has a statue holder with a statue on it.","wolfe2","016_R_art","3"
"a bedroom with a scenic view of the trees outside. no object on the black cube in the bedroom.","a bedroom with a scenic view of the trees outside. theres a black cube display with another object on top in the bedroom.","wolfe2","016_R_art","4"
"a very contemporary living room with a flat screen tv against the wall.","a very contmporary living room with a flat screen tv against the wall that is a newer movel.","wolfe2","017_L_wood","1"
"a red and white living room with large windows and an unlit fireplace","a red and white livving room with large windows and a lit fireplace","wolfe2","017_L_wood","2"
"a living room area with a fireplace with no wood inside","a living room area with a fireplace with wood inside","wolfe2","017_L_wood","3"
"this seating area or living room is comfy looking with two nice leather sofas set a top a nice wooden floor.","this living room has plenty of natural light that compliments the nice natural wood floors. the tv is quite small, and both the leather sofas appear to face it.","wolfe2","017_L_wood","4"
"a modern looking house with no logs in their fireplace","a modern looking house with a log in their fireplace","wolfe2","017_R_wood","1"
"a contemporary living room with no objects on top of the fire place","a contemporary living room with a stack of objects on top of the fire place","wolfe2","017_R_wood","2"
"livingroom with white furniture and fireplace","living room with white furniture and fireplace","wolfe2","017_R_wood","3"
"an airy living room with nothing in the entertainment center shelf","an airy living room with something in the entertainment center shelf","wolfe2","017_R_wood","4"
"porch or covered outside area with some small plants","porch with plants and one noticable taller tree than the rest","wolfe2","018_L_plant","1"
"a back porch with chairs and leafy plants growing close to the ground","a back porch with chairs, leafy plants growing close to the ground, and a tall stalk with thin spiny leaves","wolfe2","018_L_plant","2"
"a porch with two chairs and plants in the yard that are mostly low in height ","a porch with two chairs and plants in the yard that are mostly low in height, except one on the left side of the porch that is very tall.","wolfe2","018_L_plant","3"
"backyard patio with two chairs and plants","backyard patio with two chairs and plants","wolfe2","018_L_plant","4"
"a backyard where plants on the ground and two chairs at the patio and without one plant that stick above the patio","a backyard where plants on the ground and two chairs at the patio and with one plant that stick above the patio","wolfe2","018_L_plant","5"
"a red chair placed on the corner with a plant next to it.","a red chair placed on the corner.","wolfe2","018_L_plant","6"
"a landscaped outdoor porch with a blurred door to the right side","a landscaped outdoor porch with a plant in front of a blurred door to the right side","wolfe2","018_R_plant","1"
"an outside porch with two chairs and one plant against the windows of the house","an outside porch with two chairs and two plants against the wall of the house","wolfe2","018_R_plant","2"
"a deck of a house with only short plants in the front garden.","a deck of a house that has one tall plant amongst the short plants in the garden.","wolfe2","018_R_plant","3"
"an outside living space with chairs and a stained glass window.","an outside living space with a deck and chairs and a plant on the far edge.","wolfe2","018_R_plant","4"
"outside portion of house with one light on top of exit","outside section of a house with two lights on top of exit","wolfe2","019_L_lamp_sized","1"
"a modern patio with one light fixture on the wall.","a modern patio with two light fixtures on the wall","wolfe2","019_L_lamp_sized","2"
"an outside patio of a modern designed home with one outdoor light.","an outside patio of a modern designed home with two outdoor lights.","wolfe2","019_L_lamp_sized","3"
"a modern-style house with a lot of grey and white shades","a modern style house with a lot of grey and white shades with overhead lighting attached to the wall","wolfe2","019_L_lamp_sized","4"
"an artistic building with one light hanging from the deck","an artistic building with two lights hanging from the deck","wolfe2","019_R_lamp_sized","1"
"an outdoor space at a contemporary home with white exterior","an outdoor space that has a floodlight at a contemporary home with white exterior","wolfe2","019_R_lamp_sized","2"
"outside view of home with some lighting missing on the patio","outside view of home with lighting on the patio","wolfe2","019_R_lamp_sized","3"
"there is white side panelling on the side of a modern house.","there is a streetlight on the white panelling on the side of a modern house.","wolfe2","019_R_lamp_sized","4"
"a small, but cozy, office space with grass garden and 2 plates on the wall","a small, but cozy, office space with grass garden and 3 plates on the wall","wolfe2","020_L_walldeco","1"
"plain wall","decorations on the wall","wolfe2","020_L_walldeco","2"
"a desk sits in the corner of the room with some decorations on the wall.","a desk sits in the corner of the room with three decorations of circles o the wall.","wolfe2","020_L_walldeco","3"
"a small office with two discs on the wall","a small office with three discs on the wall","wolfe2","020_L_walldeco","4"
"a small office space with a desk that has a laptop and monitor sitting on it, with a wall sculpture that has only two discs aligned vertically","a small office space with a desk that has a laptop and monitor sitting on it, with a wall sculpture that has three discs aligned vertically","wolfe2","020_R_walldeco","1"
"a clean looking office area with 2 circle patterns on the wall.","a clean looking office area with 3 circle patterns on the wall.","wolfe2","020_R_walldeco","2"
"round design has","round design has been missing","wolfe2","020_R_walldeco","3"
"a small office with a desk and two circular pieces of art hanging on the wall","a small office with a desk and three circular pieces of art hanging on the wall","wolfe2","020_R_walldeco","4"
"in a nice workroom with a fireplace there is a computer desk without a keybord for  the computer","in a nice workroom with a fireplace there is a computer desk with a keyboard in front of a computer","wolfe2","021_L_keyboard","1"
"a depicition of a home office with a yellow desk with very little on it","a picture of a home office with a keyboard on a yellow desk","wolfe2","021_L_keyboard","2"
"an office space with a with just a keyboard pad","an office space with a keyboard on a keyboard pad","wolfe2","021_L_keyboard","3"
"a home office without a keyboard","a home office with a keyboard","wolfe2","021_L_keyboard","4"
"a home office with nothing on the desk","a home office with a keyboard on the desk","wolfe2","021_L_keyboard","5"
"a office with brick wall surrounding and desks and chairs around with one office desk without keyboard on the top","a office with brick wall surrounding and desks and chairs around with one office desk with keyboard on the top","wolfe2","021_L_keyboard","6"
"a modern looking office with a nice desktop mat","a modern looking office with a keyboard on a nice desktop mat.","wolfe2","021_L_keyboard","7"
"a hippie-style office with a chair facing a desk that has a black mat on it.","a hippie-style office with a chair facing a desk that has a black mat with a keyboard on it.","wolfe2","021_R_keyboard","1"
"an office space with a possible touch screen computer","an office space with a computer and keyboard","wolfe2","021_R_keyboard","2"
"a colorful office with a desk, chair and computer","a colorful office with a desk, chair, keyboard, and computer","wolfe2","021_R_keyboard","3"
"a colorful room with a table that has nothing on top of a table mat","a colorful room with a table that has a keyboard on top of a mat","wolfe2","021_R_keyboard","4"
"a room with a pink desk and a wall desk with a monitor and a black mat.","an open space room with matching chairs and pink desk with a yellow wall commputer and black keyboard.","wolfe2","021_R_keyboard","5"
"a beautiful modern kitchen with 2 ceiling lights","a beautiful modern kitchen with 3 hanging ceiling lights","wolfe2","022_L_lamp","1"
"a dinning table with chair.  fruit and vegetable present on the table only two light is hanging","a dinninig table with chair,  fruit and vegetables present on the table.  three light are hanging.","wolfe2","022_L_lamp","2"
"a white and chrome kitchen with two hanging lights","a white and chrome kitchen with three hanging lights","wolfe2","022_L_lamp","3"
"a kitchen area with white cabinets, granite countertops, stainless steel appliances, and 2 hanging glass lights","a kitchen area with white cabinets, granite countertops, stainless steel appliances, and 3 hanging glass lights","wolfe2","022_L_lamp","4"
"a modern kitchen with an island in the middle and two glass bulbous looking lights above it","a modern kitchen with an island in he middle and three glass bulbous looking lights above it","wolfe2","022_R_lamp","1"
"hanging bulp has","hanging bulp has no available","wolfe2","022_R_lamp","2"
